,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,song_title,artist,opinion
1,0.795,0.797,10,-5.96,0,0.0634,0.00438,0.302,0.129,0.627,124.952,189614,4,Rave Grave,Walker & Royce,1
2,0.596,0.963,7,-6.032,1,0.0806,0.000443,0.872,0.285,0.148,137.004,244299,4,Fall In Love,Lilly Palmer,1
3,0.77,0.622,11,-10.621,1,0.026,0.328,0.00603,0.149,0.792,115.952,231247,3,LAGUNAS,Peso Pluma,1
4,0.747,0.629,9,-8.509,0,0.0363,0.328,0.00409,0.154,0.793,127.819,163552,3,LUNA,Peso Pluma,1
5,0.776,0.701,9,-5.223,1,0.0254,0.513,0,0.0902,0.603,112.032,265045,3,BIPOLAR,Peso Pluma,1
6,0.787,0.858,5,-4.969,0,0.0555,0.263,0,0.103,0.964,125.093,157252,3,TQM,Fuerza Regida,1
7,0.628,0.668,8,-2.722,1,0.117,0.329,0,0.139,0.845,148.746,136913,3,Ch y la Pizza,Fuerza Regida,1
8,0.558,0.648,9,-7.081,0,0.055,0.226,7.76E-06,0.0986,0.844,143.876,187226,3,El Azul,Junior H,1
9,0.807,0.595,0,-7.19,1,0.0325,0.31,2.44E-05,0.0735,0.392,92.491,239845,4,Por las Noches,Peso Pluma,1
10,0.646,0.736,5,-7.118,0,0.0449,0.216,0,0.415,0.873,140.098,212878,3,LADY GAGA,Peso Pluma,1
11,0.702,0.68,7,-5.451,0,0.0373,0.24,0,0.111,0.86,122.895,204253,3,ROSA PASTEL,Peso Pluma,1
12,0.699,0.541,0,-4.943,1,0.0826,0.0628,0,0.0916,0.365,98.395,224921,4,Fin de Semana,Oscar Maydon,1
13,0.736,0.862,7,-4.136,0,0.0333,0.464,0,0.0904,0.799,145.001,153032,3,LA PEOPLE,Peso Pluma,1
14,0.758,0.816,5,-7.284,1,0.0406,0.136,3.64E-06,0.326,0.915,139.959,238447,3,RUBICON,Peso Pluma,1
15,0.639,0.676,5,-7.376,0,0.11,0.296,0.00059,0.18,0.852,179.971,190680,3,NUEVA VIDA,Peso Pluma,1
16,0.576,0.604,5,-7.558,0,0.047,0.27,0,0.176,0.734,99.746,192391,3,Mente Positiva,Junior H,1
17,0.854,0.668,5,-7.848,0,0.0466,0.264,5.61E-05,0.117,0.805,132.966,187660,3,"Peso Pluma: Bzrp Music Sessions, Vol. 55",Bizarrap,1
18,0.787,0.829,0,-6.222,1,0.0456,0.308,1.81E-05,0.0971,0.867,122.968,166565,3,PLVO BLNCO,Fuerza Regida,1
19,0.59,0.845,7,-5.777,1,0.035,0.000915,0.915,0.246,0.873,145.003,243760,4,GEWALT GEWALT,Brutalismus 3000,1
20,0.658,0.729,1,-4.619,0,0.0727,1.14E-05,0.824,0.657,0.486,74.992,276840,4,IS U CHEMICAL?,Brutalismus 3000,1
21,0.517,0.929,11,-5.299,0,0.0378,4.74E-06,0.747,0.0939,0.76,145.007,265159,4,GR3Y,Brutalismus 3000,1
22,0.68,0.924,9,-5.042,1,0.0567,0.00012,0.801,0.0757,0.871,144.98,261187,4,CRY B3B3,Brutalismus 3000,1
23,0.731,0.886,2,-5.264,1,0.0663,0.00566,0.87,0.147,0.731,155.004,280227,4,JE N'EXISTE PAS,Brutalismus 3000,1
24,0.552,0.882,6,-5.292,1,0.0403,5.01E-05,0.787,0.0484,0.484,165.009,206627,4,DIE LIEBE KOMMT NICHT AUS BERLIN,Brutalismus 3000,1
25,0.632,0.663,7,-9.304,1,0.036,0.00157,0.885,0.131,0.897,149.993,198572,4,Italo Disco,southstar,1
26,0.586,0.997,7,-6.865,1,0.412,0.0108,0.768,0.127,0.0376,150.005,384000,4,90's Motherfucker,Alex Farell,1
27,0.927,0.525,8,-8.256,0,0.0667,0.274,0.238,0.0672,0.778,118.023,198305,4,Music Sounds Better with You,NEIL FRANCES,1
28,0.345,0.941,9,-9.918,1,0.0466,3.84E-05,0.633,0.0511,0.407,179.626,147062,4,Freaks,Surf Curse,1
29,0.473,0.621,11,-8.698,0,0.0291,0.0253,0.000366,0.19,0.782,173.083,152761,4,Disco,Surf Curse,1
30,0.62,0.594,9,-16.066,1,0.0383,0.887,0.5,0.0917,0.698,165.861,167987,4,New Flesh,Current Joys,1
31,0.776,0.626,6,-12.561,1,0.0396,0.622,0.899,0.086,0.866,122.072,194733,4,Blondie,Current Joys,1
32,0.639,0.82,5,-6.782,1,0.0448,0.086,0.939,0.207,0.369,165.895,174936,4,japan,Yot Club,1
33,0.593,0.749,5,-5.67,1,0.0475,0.0113,0.106,0.314,0.649,164.959,309053,4,The Adults Are Talking,The Strokes,1
34,0.641,0.842,9,-7.27,1,0.0292,0.134,0.911,0.419,0.499,129.978,278769,4,Can I Call You Tonight?,Dayglow,1
35,0.303,0.9,2,-2.352,0,0.0574,0.0277,0.635,0.11,0.491,149.508,192960,4,Feels Like We Only Go Backwards,Tame Impala,1
36,0.589,0.481,0,-4.801,1,0.0285,0.273,1.33E-05,0.0986,0.176,93.568,228293,4,Telescope,Cage The Elephant,1
37,0.655,0.668,0,-6.733,1,0.0272,0.0398,0.0302,0.0759,0.867,93.003,202627,4,These Days,Wallows,1
38,0.682,0.9,9,-5.028,1,0.0874,0.0884,0.063,0.0685,0.937,100.721,179499,4,Looking Out for You,Joy Again,1
39,0.247,0.438,5,-8.478,1,0.0358,0.0447,0.000867,0.111,0.39,185.711,198213,3,I Can't Handle Change,Roar,1
40,0.372,0.537,9,-7.623,1,0.0305,0.937,0.873,0.287,0.228,123.735,212750,3,YKWIM?,Yot Club,1
41,0.467,0.757,3,-5.093,1,0.033,0.0807,0.908,0.0876,0.433,82.282,155933,4,Alien Blues,Vundabar,1
42,0.551,0.529,5,-10.469,0,0.0517,0.296,0.0093,0.178,0.521,75.515,182307,4,For the First Time,Mac DeMarco,1
43,0.697,0.401,7,-10.216,1,0.0543,0.43,0.0109,0.316,0.478,108.996,185224,4,Oh Klahoma,Jack Stauber,1
44,0.643,0.671,9,-5.439,0,0.0246,0.00578,0.000641,0.107,0.412,89.9,145667,4,Home,Vacations,0
45,0.662,0.478,9,-8.631,1,0.0451,0.252,0.833,0.216,0.43,139.98,422613,4,Moonlight on the River,Mac DeMarco,1
46,0.603,0.784,6,-4.023,1,0.062,0.446,8.32E-06,0.119,0.769,172.041,173104,4,Dark Red,Steve Lacy,1
47,0.708,0.323,9,-11.199,0,0.03,0.765,0.52,0.0939,0.502,141.013,241067,4,One More Love Song,Mac DeMarco,1
48,0.412,0.902,11,-9.558,1,0.0528,0.000106,4.92E-06,0.0616,0.539,100.094,170667,4,Goth Babe,Surf Curse,1
